Index	Abbreviation	Full_Name	First_Level	Last_Level	Color
235	V4d	dorsal_visual_area_4	5	6	#802C1D
236	V4v	ventral_visual_area_4	5	6	#FF948C
237	V2-V3	preoccipital_visual_areas_2-3	3	3	#A82F27
238	V3	visual_area_3	4	4	#9E0300
239	V3d/V3A	visual_areas_V3d_and_V3A	5	5	#800008
240	V3A	visual_area_V3A	6	6	#FF893B
241	V3d	dorsal_visual_area_3	6	6	#80393E
242	V3v	ventral_visual_area_3	5	6	#BF6F56
243	V2	visual_area_2	4	5	#FFC273
244	possibly_V2	possibly_part_of_visual_area_2	6	6	#8CFFA8
245	clearly_V2	clearly_part_of_visual_area_2	6	6	#F1FFA6
246	V1	primary_visual_cortex	2	6	#FFFFBF
